x,b,c,y 
13.67,-10.1,-12.86,-150.92700000000002
-47.17,23.62,-12.8,-1126.9554
-49.19,-13.6,-47.36,621.6239999999999
-25.18,-37.32,36.93,976.6475999999999
-25.1,-25.81,-11.42,636.4110000000001
27.26,45.49,4.68,1244.7374000000002
17.87,-31.79,32.92,-535.1673000000001
27.34,-28.67,33.38,-750.4578
-30.57,-4.92,44.94,195.3444
17.26,44.93,15.46,790.9518
18.61,7.67,-39.99,102.74869999999999
-7.99,-37.54,-35.22,264.7246
-40.47,-42.48,35.35,1754.5155999999997
46.75,-34.33,-45.46,-1650.3875
3.97,-4.14,18.93,2.4941999999999993
23.3,41.28,13.9,975.724
47.54,33.96,14.83,1629.2884
20.51,11.13,-28.68,199.5963
-21.44,25.91,-25.73,-581.2404
-2.7,2.49,-19.4,-26.122999999999998
-17.64,-30.09,14.94,545.7276
-7.52,14.92,37.36,-74.8384
-42.64,-8.19,-48.47,300.75159999999994
25.2,2.03,-31.9,19.255999999999993
-6.17,48.76,-29.01,-329.8592
-26.15,26.52,7.96,-685.5379999999999
-21.97,15.7,0.41,-344.51899999999995
45.09,-27.34,-37.63,-1270.3906000000002
-13.17,25.62,36.82,-300.59540000000004
22.74,45.1,23.84,1049.414
41.08,34.08,45.73,1445.7364
-10.66,-6.15,-35.17,30.38900000000001
-5.67,-3.05,8.41,25.7035
-29.91,-25.61,29.81,795.8050999999999
18.58,-4.07,-7.26,-82.8806
46.67,-26.28,-19.65,-1246.1376000000002
17.59,-20.14,17.11,-337.1526
-1.84,19.13,13.48,-21.719199999999997
47.11,37.52,34.78,1802.3472000000002
33.52,-36.09,-3.63,-1213.3668000000002
-26.21,-30.8,-12.12,795.148
-49.94,-13.84,-13.82,677.3495999999999
37.06,43.53,39.18,1652.4018
11.3,18.16,-41.9,163.30800000000002
27.5,-6.0,-26.27,-191.27
38.34,24.99,48.88,1006.9966000000001
-41.52,-5.97,33.66,281.5344
-5.98,-2.83,23.36,40.2834
-50.0,26.74,-47.85,-1384.85
47.46,-8.94,26.95,-397.3424
43.54,-38.72,9.86,-1676.0088
23.4,10.64,8.69,257.666
-6.17,-33.91,19.15,228.3747
9.52,-24.26,-23.37,-254.3252
-5.61,37.04,-3.87,-211.6644
-22.68,32.31,37.39,-695.4008
18.47,-2.61,-19.59,-67.7967
-6.29,14.35,-40.25,-130.5115
-24.45,-3.83,39.29,132.9335
24.05,-10.84,-20.03,-280.73199999999997
36.55,-32.74,-39.47,-1236.117
-36.11,-30.85,-32.13,1081.8635
-21.43,17.06,-34.31,-399.90579999999994
-3.26,26.71,29.71,-57.3646
-15.53,-9.7,2.81,153.451
-8.58,4.77,45.25,4.323400000000007
-6.45,-1.01,-48.97,-42.4555
-38.72,-36.33,-0.33,1406.3676
44.66,-36.32,9.48,-1612.5711999999999
-8.39,8.14,14.69,-53.604600000000005
21.65,17.51,-26.11,352.9815
7.95,30.94,6.18,252.15300000000002
-24.85,13.07,48.68,-276.1095
48.07,-2.01,-25.23,-121.85069999999999
24.88,14.54,32.53,394.2851999999999
35.66,29.28,-0.97,1043.1548
-16.39,-24.58,18.85,421.7162
18.87,-42.42,18.89,-781.5754000000001
25.9,-29.87,8.17,-765.4630000000001
11.29,-48.99,-14.79,-567.8870999999999
36.67,-34.93,49.15,-1231.7331
-48.36,0.55,15.75,-10.848000000000003
-18.7,-31.61,48.88,639.987
2.86,19.43,45.96,101.5298
32.76,-48.44,-12.37,-1599.2643999999998
7.88,-1.73,-15.99,-29.6224
-22.16,-21.01,24.44,490.02160000000003
-14.16,-42.98,-31.23,577.3667999999999
26.58,-45.57,37.05,-1174.2006
-23.79,-21.83,13.97,533.3057
-33.36,-18.81,-7.88,619.6216
-5.09,2.22,-13.32,-24.6198
-48.19,-35.35,29.76,1733.2765
25.32,-43.18,3.93,-1089.3876
22.82,34.12,-44.09,734.5283999999999
-5.01,14.31,7.42,-64.2731
17.49,-49.48,-40.05,-905.4551999999999
41.43,10.28,13.1,439.0004
6.41,-39.59,-28.74,-282.5119
-40.61,18.62,7.48,-748.6782000000001
40.54,-43.04,12.94,-1731.9016
-29.88,8.87,-43.52,-308.55559999999997
-9.36,36.69,-44.1,-387.5184
-4.11,11.75,-0.66,-48.9525
21.67,37.27,-16.52,791.1209000000001
38.85,22.21,6.24,869.0985000000001
46.52,-8.54,-28.45,-425.7308
-38.46,-43.8,-25.32,1659.228
24.56,9.03,17.37,239.14679999999998
-30.01,-35.86,-33.49,1042.6686
-20.27,-41.25,-19.87,816.2674999999999
-38.51,42.33,-46.17,-1676.2983
36.35,-28.15,2.51,-1020.7425
13.55,-31.23,12.07,-411.09650000000005
14.79,-46.17,22.09,-660.7642999999999
-6.65,-6.37,2.27,44.630500000000005
-31.16,-15.21,23.42,497.3636
10.8,31.32,-21.34,316.91600000000005
-9.15,29.73,-19.15,-291.1795
-16.95,-46.41,2.69,789.3394999999999
-8.53,25.95,38.09,-183.26349999999996
39.1,-42.3,19.14,-1634.7899999999997
-10.42,-31.27,26.96,352.79339999999996
-44.97,28.33,-26.39,-1300.3901
6.8,-1.21,28.66,20.432000000000002
-47.74,28.98,15.18,-1368.3252
3.15,47.17,37.33,185.9155
-24.58,-25.46,-1.5,624.3068
11.24,-17.31,-44.34,-238.90439999999998
28.8,33.61,36.47,1004.438
-34.79,14.4,-4.91,-505.886
-11.59,23.32,-9.4,-279.67879999999997
25.7,22.79,38.92,624.6229999999999
1.17,30.13,37.72,72.9721
22.6,-49.84,-24.24,-1150.6240000000003
39.4,-40.92,38.94,-1573.308
41.85,37.48,38.61,1607.148
15.2,38.84,-48.12,542.248
14.74,-4.09,-3.75,-64.03659999999999
-23.85,46.47,-4.67,-1112.9795000000001
-14.13,47.24,-16.72,-684.2212000000001
-10.43,18.49,19.63,-173.2207
-7.51,-6.51,-8.28,40.610099999999996
-5.72,18.4,-13.0,-118.24799999999999
4.15,8.56,47.79,83.31400000000001
38.13,27.17,-43.75,992.2421000000002
-29.4,24.03,-46.65,-753.132
43.55,-37.69,-11.33,-1652.7294999999997
-44.61,24.5,-16.24,-1109.185
-38.77,48.43,-36.97,-1914.6011
-24.44,-44.4,14.43,1099.566
-14.16,39.3,22.75,-533.7379999999999
40.35,-20.72,3.42,-832.6320000000001
17.09,9.72,-13.96,152.1548
35.24,31.61,26.86,1140.7964
38.67,-48.21,-41.46,-1905.7407
-46.15,-21.38,24.14,1010.8269999999999
42.44,15.8,44.81,715.3620000000001
0.84,17.8,-48.0,-33.048
40.0,27.74,-1.83,1107.77
-16.66,-31.38,-10.69,512.1007999999999
11.07,-0.39,-48.97,-53.2873
44.06,5.71,26.39,277.9726
-31.56,-43.94,-11.92,1374.8263999999997
-7.81,-41.71,32.23,357.9851
11.7,20.78,-15.06,228.066
24.03,-24.71,37.79,-555.9913000000001
5.22,21.8,20.13,133.926
-41.61,-25.29,15.61,1067.9269
25.32,-8.36,23.21,-188.46519999999998
-3.52,8.77,-46.4,-77.2704
-17.33,29.22,2.16,-504.2225999999999
-24.08,-24.83,5.73,603.6364
-18.79,13.73,-0.35,-258.3367
23.05,-22.72,-17.27,-540.966
-44.52,10.05,41.93,-405.49600000000004
-3.89,39.78,-1.23,-155.9742
-10.88,42.65,4.72,-459.312
-19.16,19.48,-8.21,-381.4468
-25.78,29.84,8.15,-761.1252000000001
-7.51,7.42,-0.13,-55.8542
-9.6,-44.27,-5.86,419.132
37.25,-26.38,-28.95,-1011.605
22.06,-49.61,-6.86,-1101.2566
-46.27,11.94,-20.11,-572.5738
48.65,17.57,-15.08,839.7004999999999
-23.85,27.76,-29.53,-691.606
-20.08,27.71,20.38,-536.0368
-16.56,-40.79,-28.78,646.7024
37.09,-9.87,5.92,-360.1583
-32.41,-32.72,20.96,1081.4152
36.46,-8.36,25.53,-279.27559999999994
14.25,33.29,-11.66,462.72249999999997
45.67,-7.97,47.18,-316.80989999999997
-33.18,3.32,11.74,-98.4176
-21.56,29.59,-16.65,-654.6103999999999
-47.59,48.27,-5.67,-2302.8393000000005
-5.15,-43.23,-35.5,187.1345
46.82,-3.53,31.22,-134.0546
45.53,44.12,-37.94,1970.8436
-38.57,31.56,-20.93,-1238.1992
37.38,16.28,-29.45,579.0964
4.37,-13.24,16.87,-40.9888
-46.8,0.62,-28.61,-57.626
35.34,12.99,-12.59,446.4766000000001
-35.59,-45.3,17.88,1630.1070000000002
-47.34,11.42,-35.9,-576.5228
-5.58,12.43,43.38,-25.97939999999999
-10.76,-39.18,6.52,428.0968
44.3,48.08,-10.43,2119.514
-25.26,-20.7,-48.21,474.6720000000001
-30.02,22.56,44.21,-633.0411999999999
-2.1,35.14,-31.2,-104.99400000000001
-47.22,20.67,-46.91,-1022.9474
-22.08,10.39,28.9,-200.5112
40.55,-37.43,23.5,-1494.2865
-8.08,11.97,-19.22,-115.9376
6.29,-9.85,-11.5,-73.4565
48.18,-23.59,12.0,-1124.5662
7.74,13.67,47.58,153.38580000000002
34.41,5.86,43.25,244.8926
-35.87,15.91,-9.02,-579.7117
-1.72,-26.74,-43.46,2.5327999999999946
-4.92,31.94,-6.15,-163.2948
49.6,4.66,-24.95,206.18600000000004
11.18,16.59,27.58,213.0562
18.05,34.63,-11.16,613.9115
40.36,1.52,46.2,107.5472
1.31,-15.86,13.29,-7.486599999999999
-49.31,-47.38,-47.54,2288.7678
-25.08,30.61,-2.1,-769.7987999999999
-21.95,8.69,37.63,-153.1155
0.8,18.55,4.98,19.82
8.64,32.84,49.55,333.28760000000005
42.5,17.19,-18.22,712.355
-6.16,11.84,21.88,-51.0544
-36.15,-31.05,-31.92,1090.5375
17.18,-35.23,11.49,-593.7614
1.38,-34.72,-46.67,-94.58359999999999
-18.77,22.89,-43.81,-473.4553
35.97,29.97,-2.96,1075.0609
22.26,-43.58,-48.76,-1018.8508
-28.21,40.96,18.03,-1137.4516
-42.21,21.15,-5.75,-898.4915
3.12,-41.78,-28.04,-158.3936
10.21,-22.19,-4.34,-230.89990000000003
48.38,-30.5,-25.64,-1501.2300000000002
-14.71,43.52,8.4,-631.7792000000001
-46.81,-39.71,24.71,1883.5351
-13.94,13.68,-1.17,-191.86919999999998
-25.78,22.18,47.38,-524.4204
-17.34,25.1,-45.57,-480.80400000000003
23.68,16.17,30.63,413.53560000000004
-22.91,1.69,-17.57,-56.2879
42.55,39.18,-40.78,1626.329
-20.42,-46.01,49.66,989.1842
23.1,32.85,2.29,761.125
-5.61,3.0,2.29,-14.540000000000003
12.62,0.29,-22.36,-18.7002
-28.76,-33.82,-6.27,966.3932000000001
-9.25,-47.39,-16.76,421.5975
25.69,31.78,1.97,818.3982000000001
-36.92,40.11,-23.13,-1503.9912000000002
-15.64,-8.5,21.56,154.5
-44.78,-17.6,6.68,794.808
-0.26,-30.52,13.66,21.5952
-10.52,-15.57,42.99,206.78640000000001
-25.82,-22.46,23.99,603.9072
-44.24,42.46,35.65,-1842.7804
-48.9,37.25,46.77,-1774.7549999999999
-34.16,-17.03,-19.65,562.0948
-25.77,22.5,-39.91,-619.735
-40.11,38.48,26.54,-1516.8927999999999
-6.83,20.73,-41.68,-183.26590000000002
-19.35,1.51,-25.04,-54.2585
-24.65,10.76,-14.12,-279.354
-28.0,16.46,-25.91,-486.79
25.76,22.88,-19.0,570.3888000000001
-38.11,32.82,11.71,-1239.0602
-42.64,24.97,-37.24,-1101.9608
38.33,23.56,34.52,937.5747999999999
-2.89,39.04,-28.26,-141.0856
-13.23,-46.07,-29.11,580.3961
15.99,10.69,13.96,184.8931
22.79,-25.11,-45.69,-617.9468999999999
-48.23,27.48,-49.75,-1375.1104
41.5,-6.29,14.7,-246.33500000000004
-15.88,6.95,48.11,-62.256000000000014
-23.41,-21.23,-30.83,466.1643
10.79,37.84,7.7,415.9936
1.6,31.22,35.1,85.05199999999999
-8.24,27.11,14.56,-208.8264
-48.49,-23.81,-25.29,1129.2569
-27.19,8.3,-24.11,-249.78700000000003
6.13,10.46,45.56,109.6798
21.42,22.79,-17.32,470.84180000000003
30.02,39.96,2.4,1201.9992000000002
38.83,-33.35,30.98,-1264.0004999999999
9.63,-47.88,-29.79,-490.8744000000001
-22.7,4.73,-35.25,-142.621
13.05,27.36,-41.38,315.668
33.75,49.66,-12.93,1663.0949999999998
-18.47,29.08,-37.04,-574.1475999999999
-37.73,-28.71,-8.56,1074.6683
41.05,-40.2,28.66,-1621.55
47.04,-29.9,29.11,-1377.386
38.93,32.05,21.53,1269.2364999999998
40.63,16.43,5.29,672.8409
6.86,4.15,18.89,47.35900000000001
4.6,20.03,0.8,92.93799999999999
34.18,-38.46,-31.95,-1346.5128
-17.52,-35.2,-27.88,588.8240000000001
41.15,6.68,41.32,316.202
-4.82,44.51,-27.71,-242.2482
-32.34,27.01,-6.24,-879.7434000000002
34.33,-25.08,43.03,-817.9663999999999
9.66,-10.78,3.63,-100.5048
27.28,-21.07,-37.8,-612.5896
7.14,-29.16,-30.39,-238.5924
45.64,30.76,-32.9,1370.9864
28.12,4.86,-13.88,122.78320000000002
-10.47,30.7,8.47,-312.959
-17.41,-7.41,-14.5,114.50810000000001
14.75,24.61,17.37,380.3675
-23.76,46.26,-0.74,-1099.8776
-27.74,17.39,3.43,-478.9686
-39.59,-14.54,18.23,593.8686
-4.92,-43.25,27.44,240.23
-48.3,-7.73,-6.61,366.74899999999997
47.61,7.3,-12.99,334.563
-47.03,-38.96,36.52,1868.8088
-2.79,-43.3,4.16,124.96699999999998
-42.71,-10.07,-33.61,396.4797
-20.1,13.24,32.82,-233.30400000000003
35.17,-26.06,-18.73,-935.2602
35.73,46.77,29.77,1700.8621
41.93,42.89,-5.7,1792.6777
21.57,48.32,10.43,1052.6924000000001
-27.95,-23.95,-13.69,655.7124999999999
-46.72,49.96,-25.11,-2359.2412
-22.64,41.43,39.94,-898.0352
-7.81,40.0,26.59,-285.81
-34.21,32.45,-7.49,-1117.6045000000001
-25.77,17.28,-13.35,-458.65560000000005
19.78,22.75,16.44,466.435
-43.37,26.3,36.94,-1103.6909999999998
23.36,1.98,25.33,71.58279999999999
43.08,36.05,-17.4,1535.6339999999998
6.89,21.52,-38.93,109.34279999999998
39.46,1.9,14.55,89.524
23.22,-1.32,-38.85,-69.5004
49.6,-45.22,-2.78,-2245.692
23.36,30.76,-2.15,716.4036000000001
-13.87,-10.49,-35.04,110.4563
16.46,-14.52,35.83,-203.1692
27.18,12.98,-45.28,307.5164
-6.67,-0.63,35.33,39.5321
18.71,-11.73,5.37,-214.09830000000002
-30.87,-45.36,6.67,1406.9332000000002
-33.25,29.76,23.75,-965.7700000000001
-38.69,-24.72,-36.78,919.6367999999999
29.75,-40.0,-16.49,-1206.49
15.02,41.99,-35.0,595.6898
47.54,4.61,21.99,241.1494
-18.42,47.69,-38.18,-916.6298
28.3,49.1,-44.9,1344.6299999999999
-34.05,-9.61,-46.44,280.78049999999996
-0.1,-28.87,7.65,10.537
49.58,-9.7,12.57,-468.35599999999994
-18.61,-49.98,-3.08,927.0477999999998
-39.35,15.45,-38.93,-646.8874999999999
-35.97,-36.39,-9.37,1299.5783000000001
31.19,39.46,14.21,1244.9674000000002
-49.19,-28.23,39.62,1428.2536999999998
1.72,-26.48,28.85,-16.6956
-33.29,-23.69,-2.4,786.2401000000001
36.68,-39.2,-24.41,-1462.266
-45.42,-19.6,-41.39,848.8420000000001
-18.16,-26.82,-21.08,465.9712
40.48,0.3,-42.13,-29.986000000000004
-23.83,40.84,-34.73,-1007.9472000000001
44.89,-15.24,10.22,-673.9036
-22.85,39.09,12.58,-880.6265000000001
-48.55,46.4,-37.88,-2290.6
43.95,-23.14,42.91,-974.0930000000001
-26.22,-27.3,8.73,724.5360000000001
33.47,34.92,-40.89,1127.8824
-40.9,47.2,46.51,-1883.97
35.9,-40.45,-5.47,-1457.625
-28.2,33.52,-20.46,-965.724
-17.24,-22.71,-0.78,390.7404
41.65,13.19,42.85,592.2135
-40.06,-28.11,12.61,1138.6966
16.45,-8.47,-48.68,-188.0115
-45.45,-38.24,-13.02,1724.9880000000003
42.65,21.78,-6.82,922.097
12.19,3.47,22.52,64.8193
-27.0,48.99,28.19,-1294.54
3.41,-41.93,11.6,-131.3813
17.84,-14.21,12.74,-240.7664
5.66,3.68,-49.9,-29.071199999999997
28.27,11.5,40.04,365.14500000000004
-40.41,12.98,42.37,-482.1518
-46.2,-37.17,-11.18,1706.074
29.94,33.64,15.06,1022.2416000000001
4.61,-49.37,-27.12,-254.7157
2.1,-32.43,-41.57,-109.673
13.32,4.65,45.37,107.308
13.94,-26.63,21.81,-349.4122
11.64,-37.68,10.86,-427.7352
-22.47,34.68,3.76,-775.4996
33.48,-30.88,12.85,-1021.0124
2.94,20.02,-6.1,52.758799999999994
20.24,-49.67,25.54,-979.7808
-28.78,41.02,30.6,-1149.9556000000002
41.53,12.27,-48.35,461.2231
28.17,20.28,-28.51,542.7776000000001
4.75,-37.02,34.66,-141.18500000000003
-17.35,45.07,12.96,-769.0045
21.56,-32.97,16.52,-694.3131999999999
-40.21,1.3,-8.4,-60.673
-20.81,-24.1,-46.37,455.151
-21.57,-40.32,-7.73,861.9724
-22.02,-2.93,14.55,79.0686
-34.93,43.63,16.35,-1507.6459000000002
-5.75,-1.97,38.61,49.9375
49.15,21.46,-43.3,1011.4590000000001
47.68,27.06,29.86,1320.0807999999997
-22.41,1.17,-46.75,-72.9697
-29.2,20.35,10.4,-583.82
9.83,47.05,30.8,493.3015
-27.57,38.42,31.1,-1028.1394000000003
46.67,-4.0,36.59,-150.09
28.84,13.08,21.21,398.43719999999996
48.09,-33.36,29.73,-1574.5524
4.43,-18.8,17.18,-66.10399999999998
16.12,46.0,43.47,784.9900000000001
-40.5,-15.06,-19.46,590.47
-13.54,-30.58,-28.8,385.25319999999994
3.34,-16.67,28.14,-27.537800000000004
34.87,34.38,-25.55,1173.2806
-0.7,-15.95,-31.93,-20.765
-35.6,33.32,-14.74,-1200.932
10.37,-5.71,-16.64,-75.8527
21.71,30.02,-9.3,642.4342
48.56,-22.05,41.26,-1029.488
44.67,27.07,7.4,1216.6169000000002
46.41,-17.89,-47.45,-877.7249
-30.01,7.99,27.1,-212.67990000000003
-20.44,-8.51,-2.32,171.6244
44.81,-25.42,-14.0,-1153.0702
33.4,-32.22,-29.2,-1105.348
-6.67,-17.82,-32.67,86.18939999999999
-31.13,-40.13,-11.53,1237.7169000000001
-48.64,-32.63,-39.28,1547.8432000000003
-22.76,6.46,-27.3,-174.32960000000003
2.18,16.73,-27.3,9.171400000000002
-19.62,-47.05,6.34,929.461
-7.49,-2.95,-13.45,8.645500000000002
26.67,-3.87,-23.25,-126.4629
28.92,7.64,47.57,268.5188
-26.48,46.62,-6.12,-1240.6175999999998
4.67,2.09,-13.64,-3.8797000000000015
15.29,-35.83,-32.91,-580.7506999999999
41.3,-33.97,-23.22,-1426.1809999999998
44.21,-6.13,30.5,-240.5073
-34.3,-0.33,42.13,53.449
28.28,-41.9,-19.95,-1204.882
39.58,-16.59,14.76,-641.8722
39.37,-49.99,36.71,-1931.3962999999999
42.11,48.55,37.71,2082.1504999999997
-30.54,2.37,37.95,-34.4298
-48.44,43.47,-34.13,-2139.8168
16.31,-40.24,27.86,-628.4544
-23.53,9.39,26.77,-194.1767
44.63,-29.77,-28.22,-1356.8551
-49.74,-28.77,-27.65,1403.3698
-7.98,46.42,41.14,-329.2916000000001
-30.72,-24.06,22.23,761.3531999999999
19.55,-36.1,-49.92,-755.6750000000001
-23.68,32.18,-6.84,-768.8624
6.2,-43.31,-1.72,-270.2420000000001
33.65,29.03,-47.12,929.7395
11.49,3.3,7.38,45.297000000000004
-46.48,44.79,-22.61,-2104.4492
3.55,-1.54,24.67,19.203000000000003
-48.6,26.77,-49.66,-1350.682
-48.72,-30.35,10.11,1488.762
-17.36,9.66,-15.18,-182.8776
0.22,-3.72,45.94,45.1216
14.79,43.98,-23.52,626.9441999999999
13.03,-36.11,49.38,-421.13329999999996
-30.28,-21.97,42.74,707.9916
18.62,-10.39,-6.94,-200.4018
44.07,-5.52,2.28,-240.98639999999997
-31.52,-31.27,29.67,1015.3004
-43.66,-21.59,-17.82,924.7993999999999
33.88,-28.43,7.91,-955.2984000000001
9.27,-40.75,-19.66,-397.4125
-40.9,17.37,10.66,-699.773
-38.89,24.62,18.94,-938.5318
-7.09,27.78,48.82,-148.14020000000002
-22.53,-2.0,-5.56,39.5
-25.87,22.78,8.32,-580.9986
16.49,-26.35,-43.75,-478.26149999999996
-17.19,27.54,17.49,-455.9226
-45.72,42.49,-0.53,-1943.1728
6.83,-10.94,27.4,-47.32019999999999
-45.97,-17.58,-34.05,774.1025999999999
5.5,-18.96,6.09,-98.19
34.95,15.17,-8.41,521.7815
-34.07,42.99,-22.06,-1486.7293
13.92,32.26,42.55,491.6092
-3.07,17.71,-22.05,-76.4197
5.63,-33.4,-41.43,-229.472
-3.82,-17.53,48.26,115.22460000000001
-17.79,-40.98,22.5,751.5341999999999
-27.88,29.55,4.65,-819.2040000000001
40.85,11.36,-44.23,419.82599999999996
-6.72,32.2,-39.85,-256.23400000000004
-27.36,-4.16,23.67,137.4876
27.92,-31.37,-18.34,-894.1904000000001
25.01,15.37,-44.89,339.51370000000003
-0.75,-17.05,4.13,16.9175
49.65,-34.94,13.7,-1721.0709999999997
34.94,-1.2,-39.69,-81.618
16.55,-13.1,47.17,-169.635
49.37,20.04,10.52,999.8947999999999
-11.54,39.57,13.75,-442.88779999999997
30.93,-46.99,-6.73,-1460.1307000000002
33.0,-49.88,21.22,-1624.8200000000002
20.45,8.05,6.16,170.7825
-14.3,-25.81,-37.9,331.18300000000005
21.43,-0.72,-6.69,-22.1196
-30.71,-4.96,-15.09,137.2316
25.08,-32.75,-34.84,-856.2099999999999
8.33,16.09,47.67,181.6997
-37.87,4.95,38.29,-149.1665
-48.55,-17.24,-32.96,804.0419999999998
-27.8,-9.14,-45.76,208.33200000000002
21.8,-18.31,34.33,-364.828
20.35,34.42,30.15,730.5970000000001
37.05,8.03,-6.83,290.68149999999997
-32.59,25.92,-1.48,-846.2128000000001
-28.76,4.41,32.12,-94.7116
46.73,8.81,-19.01,392.6813
18.98,-4.87,30.62,-61.8126
22.53,32.46,45.85,777.1738
23.91,42.75,-15.28,1006.8725000000001
5.09,-45.97,34.39,-199.59729999999996
-35.12,-12.92,13.85,467.6004
30.96,-18.01,-17.55,-575.1396
-1.62,-22.52,-2.49,33.992399999999996
40.47,18.95,31.25,798.1564999999999
8.81,-48.8,6.82,-423.108
-36.92,-10.06,36.82,408.2352
-49.18,-48.32,6.44,2382.8176
-30.51,-12.12,21.66,391.44120000000004
-7.56,-11.53,43.54,130.7068
-30.61,38.17,-3.4,-1171.7837000000002
21.31,18.01,-19.3,364.4931
-17.66,-3.0,-25.0,27.980000000000004
-9.75,0.87,33.42,24.9375
-43.76,41.81,0.84,-1828.7656000000002
0.38,4.2,-37.78,-36.184
42.85,31.88,-47.45,1318.608
-40.31,-18.1,45.72,775.3310000000001
-34.76,8.27,38.17,-249.29519999999997
-10.3,-13.69,5.88,146.887
3.64,26.04,35.35,130.1356
38.69,34.9,24.08,1374.3609999999999
33.55,-12.18,29.15,-379.489
8.15,4.09,-37.59,-4.256500000000003
-4.38,-20.2,30.12,118.596
20.3,-8.49,25.58,-146.767
18.92,-33.54,35.89,-598.6868000000001
14.11,0.75,2.02,12.6025
-48.75,13.94,34.49,-645.0849999999999
37.76,-43.16,-10.05,-1639.7715999999998
-6.37,17.25,27.55,-82.33250000000001
11.51,-19.71,22.7,-204.1621
-7.42,8.22,-37.24,-98.23240000000001
41.84,-23.65,-46.07,-1035.586
-2.86,16.32,-16.19,-62.8652
-34.38,-17.52,40.44,642.7776000000001
-29.52,6.51,30.4,-161.77519999999998
-25.75,17.02,21.01,-417.255
34.02,39.95,30.86,1389.959
-3.7,-47.6,-42.43,133.69
-6.36,-21.09,-46.57,87.56240000000003
10.1,41.72,-4.75,416.62199999999996
34.85,-25.14,2.11,-874.019
30.18,35.62,-40.43,1034.5815999999998
45.62,-0.42,-45.57,-64.7304
-5.01,1.41,34.54,27.4759
-31.95,46.37,36.03,-1445.4914999999999
3.77,-14.25,-12.15,-65.8725
42.19,15.59,8.84,666.5821
17.68,-42.01,20.1,-722.6367999999999
-39.75,-12.27,-22.79,464.94249999999994
14.06,9.42,-47.13,85.3152
30.91,-8.2,-27.74,-281.202
-4.57,46.08,-18.31,-228.8956
-21.38,-24.16,-20.06,496.4808
49.59,4.0,-15.95,182.41000000000003
44.92,-15.61,8.72,-692.4812
11.26,-24.99,-7.09,-288.47739999999993
10.18,-29.77,13.76,-289.2986
-15.62,-36.17,-19.76,545.2154
-41.58,36.92,47.68,-1487.4536
27.86,-2.98,-29.7,-112.7228
4.23,-23.37,48.75,-50.10510000000001
25.2,6.49,15.17,178.718
-42.58,-14.34,42.74,653.3371999999999
13.96,-35.26,-26.21,-518.4396
-9.34,16.9,0.47,-157.37599999999998
-30.84,-49.9,-9.25,1529.666
26.59,-26.55,41.63,-664.3345
33.26,-4.79,-6.71,-166.0254
24.73,-22.24,41.96,-508.0352
13.97,-35.92,-4.23,-506.03240000000005
-19.01,-31.5,-34.94,563.875
-23.45,47.63,-38.4,-1155.3235000000002
-5.64,-31.59,13.39,191.55759999999998
-35.84,5.66,-13.7,-216.55440000000002
-44.89,-26.44,-30.76,1156.1316000000002
7.38,-23.66,-49.88,-224.4908
16.27,-9.86,17.82,-142.60219999999998
17.99,8.98,34.92,196.47019999999998
-10.25,-33.31,31.81,373.2375
-20.59,17.26,-20.24,-375.62340000000006
26.97,48.05,-36.91,1258.9984999999997
-16.37,-42.8,10.76,711.396
-11.4,6.05,4.42,-64.55
-38.0,-9.99,29.57,409.19
-0.67,23.63,-41.24,-57.072100000000006
-29.53,1.19,-29.26,-64.4007
41.76,-48.67,-46.41,-2078.8692
-45.32,13.44,-19.42,-628.5207999999999
-46.25,39.66,38.78,-1795.495
-5.88,-42.7,18.76,269.836
-47.15,-1.06,21.45,71.429
-49.18,-47.01,38.29,2350.2418
-20.27,-32.58,-32.89,627.5065999999999
-39.79,10.25,-43.8,-451.6475
-29.86,-39.38,39.47,1215.3568
9.4,-49.8,38.89,-429.23
26.95,-41.95,-14.25,-1144.8025
-7.09,-41.88,-8.84,288.08920000000006
-14.49,8.73,-17.71,-144.20770000000002
-49.92,-33.73,-7.84,1675.9616
-26.77,-15.12,-23.44,381.32239999999996
-7.77,-5.58,-19.15,24.2066
21.62,44.16,-43.66,911.0792
-49.1,-10.05,-32.01,461.44500000000005
-30.0,5.07,35.32,-116.78000000000003
35.71,43.85,1.22,1567.1035000000002
41.81,36.83,46.92,1586.7823
17.67,44.88,-7.5,785.5296000000001
37.81,-3.83,43.95,-100.86230000000002
28.4,28.18,-21.88,778.4319999999999
7.04,-47.23,-16.73,-349.2292
3.03,45.86,48.1,187.05579999999998
44.35,10.46,-29.0,434.90100000000007
35.84,-15.17,5.11,-538.5828
36.38,-3.28,-19.48,-138.8064
-43.34,-7.31,16.06,332.8754
-2.16,-44.79,-24.23,72.5164
-46.87,38.51,30.13,-1774.8336999999997
0.36,31.68,12.3,23.7048
17.01,13.8,-1.61,233.12800000000001
38.33,48.25,6.5,1855.9225
-43.64,-23.58,-45.3,983.7312
-21.67,-29.96,-22.4,626.8332000000001
-49.79,1.42,21.55,-49.151799999999994
5.78,17.12,-39.51,59.44360000000001
-39.16,-41.16,18.09,1629.9155999999996
-48.41,32.54,30.44,-1544.8213999999998
-40.59,-18.56,-48.67,704.6804000000001
-47.39,35.68,-38.84,-1729.7151999999999
6.98,41.47,-35.91,253.5506
-22.13,47.57,48.32,-1004.4040999999999
36.37,25.36,-32.2,890.1431999999999
1.98,-48.17,-47.97,-143.3466
23.34,16.44,7.68,391.38960000000003
